"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年8月27日","10,184.00","10,376.20","10,392.00","10,036.87","4.52K","-1.86%"
"2019年8月26日","10,377.00","10,144.00","10,654.02","10,144.00","8.98K","2.42%"
"2019年8月25日","10,132.00","10,162.00","10,349.00","9,881.08","5.21K","-0.20%"
"2019年8月24日","10,152.00","10,414.00","10,427.00","9,900.00","5.41K","-2.46%"
"2019年8月23日","10,408.00","10,117.00","10,461.00","10,063.00","6.39K","2.88%"
"2019年8月22日","10,117.00","10,147.00","10,247.00","9,790.00","6.53K","-0.29%"
"2019年8月21日","10,146.00","10,795.00","10,825.00","9,880.03","11.79K","-5.99%"
"2019年8月20日","10,793.00","10,947.00","10,986.00","10,588.00","5.83K","-1.32%"
"2019年8月19日","10,937.00","10,329.00","10,960.00","10,280.00","7.38K","5.91%"
"2019年8月18日","10,327.00","10,230.00","10,529.00","10,086.00","3.90K","0.97%"
"2019年8月17日","10,228.00","10,372.00","10,487.00","10,004.10","4.89K","-1.33%"
"2019年8月16日","10,366.00","10,324.00","10,568.00","9,783.40","12.89K","0.38%"
"2019年8月15日","10,327.00","10,067.00","10,470.00","9,522.50","17.37K","2.58%"
"2019年8月14日","10,067.00","10,904.01","10,909.00","9,980.00","14.51K","-7.68%"
"2019年8月13日","10,904.01","11,411.00","11,468.00","10,801.00","9.00K","-4.38%"
"2019年8月12日","11,404.00","11,577.00","11,578.81","11,272.00","3.20K","-1.57%"
"2019年8月11日","11,586.00","11,308.00","11,594.00","11,158.00","5.44K","2.40%"
"2019年8月10日","11,314.00","11,892.00","12,003.00","11,263.00","9.02K","-4.87%"
"2019年8月9日","11,893.00","12,051.00","12,092.70","11,711.00","7.81K","-1.38%"
"2019年8月8日","12,060.00","11,999.00","12,126.00","11,570.00","10.97K","0.53%"
"2019年8月7日","11,997.00","11,472.00","12,122.00","11,386.00","13.66K","4.58%"
"2019年8月6日","11,471.20","11,824.00","12,307.00","11,268.00","19.34K","-2.85%"
"2019年8月5日","11,808.00","10,974.00","11,938.00","10,973.00","16.13K","7.61%"
"2019年8月4日","10,973.00","10,822.00","11,060.00","10,595.00","9.28K","1.40%"
"2019年8月3日","10,822.00","10,520.00","10,910.00","10,506.00","7.42K","2.88%"
"2019年8月2日","10,519.00","10,400.00","10,648.35","10,345.00","8.44K","1.15%"
"2019年8月1日","10,399.01","10,096.00","10,500.00","9,899.90","7.78K","3.08%"
"2019年7月31日","10,088.00","9,588.90","10,099.00","9,575.49","7.94K","5.20%"
"2019年7月30日","9,589.00","9,503.50","9,736.00","9,401.60","5.19K","0.86%"
"2019年7月29日","9,507.00","9,530.00","9,690.00","9,396.60","5.70K","-0.13%"
"2019年7月28日","9,519.00","9,463.10","9,604.20","9,112.30","7.75K","0.56%"
"2019年7月27日","9,465.70","9,840.30","10,189.00","9,300.30","11.77K","-3.83%"
"2019年7月26日","9,842.50","9,888.00","9,899.00","9,672.00","5.12K","-0.48%"
"2019年7月25日","9,890.10","9,772.00","10,180.00","9,734.98","9.22K","1.22%"
"2019年7月24日","9,771.00","9,859.00","9,917.70","9,541.91","11.57K","-0.85%"
"2019年7月23日","9,854.90","10,330.00","10,330.00","9,824.51","9.77K","-4.59%"
"2019年7月22日","10,329.00","10,572.00","10,667.00","10,094.00","10.90K","-2.27%"
"2019年7月21日","10,569.43","10,741.00","10,811.00","10,300.00","8.25K","-1.59%"
"2019年7月20日","10,740.00","10,517.58","11,085.00","10,402.00","12.13K","2.10%"
"2019年7月19日","10,519.00","10,624.00","10,759.00","10,132.73","13.16K","-0.97%"
"2019年7月18日","10,622.00","9,691.20","10,750.00","9,271.60","28.83K","9.70%"
"2019年7月17日","9,683.20","9,418.37","9,963.10","9,090.02","23.12K","2.90%"
"2019年7月16日","9,410.00","10,813.00","10,991.00","9,378.00","26.18K","-13.03%"
"2019年7月15日","10,820.00","10,193.00","11,043.00","9,920.60","21.44K","6.01%"
"2019年7月14日","10,206.84","11,324.00","11,390.00","10,125.00","22.49K","-9.77%"
"2019年7月13日","11,312.00","11,779.00","11,803.00","10,806.00","14.72K","-3.85%"
