"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年10月24日","49.616","49.505","50.222","48.394","11.23M","0.32%"
"2019年10月23日","49.456","53.407","53.464","47.605","14.98M","-7.40%"
"2019年10月22日","53.407","54.747","55.185","53.160","8.45M","-2.49%"
"2019年10月21日","54.770","54.876","55.603","53.836","8.83M","-0.19%"
"2019年10月20日","54.876","53.739","55.439","52.674","9.07M","2.12%"
"2019年10月19日","53.737","53.217","54.084","52.687","8.67M","0.98%"
"2019年10月18日","53.217","54.948","54.995","52.364","9.88M","-3.15%"
"2019年10月17日","54.947","52.457","55.099","51.641","9.56M","4.74%"
"2019年10月16日","52.458","54.592","55.251","51.398","11.20M","-3.91%"
"2019年10月15日","54.592","56.812","57.312","53.991","10.17M","-3.91%"
"2019年10月14日","56.812","56.477","57.066","56.060","8.11M","0.59%"
"2019年10月13日","56.479","55.737","57.558","55.564","8.12M","1.33%"
"2019年10月12日","55.737","55.816","56.431","55.546","7.59M","-0.14%"
"2019年10月11日","55.815","57.453","58.222","55.444","9.70M","-2.85%"
"2019年10月10日","57.452","59.148","59.318","57.067","8.88M","-2.87%"
"2019年10月9日","59.147","56.986","59.838","56.622","10.52M","3.77%"
"2019年10月8日","56.998","57.482","58.406","56.583","9.25M","-0.84%"
"2019年10月7日","57.483","54.588","58.628","53.576","12.34M","5.31%"
"2019年10月6日","54.585","56.803","56.877","53.534","10.54M","-3.90%"
"2019年10月5日","56.798","56.422","57.197","55.761","8.32M","0.67%"
"2019年10月4日","56.422","56.442","57.401","55.477","10.08M","-0.03%"
"2019年10月3日","56.439","56.290","56.952","54.238","9.49M","0.25%"
"2019年10月2日","56.296","55.618","56.586","55.232","9.28M","1.22%"
"2019年10月1日","55.619","55.976","57.356","54.982","10.97M","-0.61%"
"2019年9月30日","55.961","53.911","56.108","52.827","11.58M","3.81%"
"2019年9月29日","53.908","55.460","55.629","52.592","10.06M","-2.80%"
"2019年9月28日","55.459","55.836","56.059","54.016","10.71M","-0.67%"
"2019年9月27日","55.835","55.232","56.405","53.204","10.31M","1.10%"
"2019年9月26日","55.227","57.419","57.463","51.163","14.37M","-3.79%"
"2019年9月25日","57.402","55.236","58.046","53.928","18.23M","3.94%"
"2019年9月24日","55.225","66.684","67.528","55.191","20.53M","-17.15%"
"2019年9月23日","66.657","72.213","74.079","63.271","12.07M","-7.70%"
"2019年9月22日","72.217","73.176","73.192","71.283","7.49M","-1.31%"
"2019年9月21日","73.178","75.093","75.519","72.327","7.69M","-2.56%"
"2019年9月20日","75.097","76.592","76.941","73.123","9.22M","-1.98%"
"2019年9月19日","76.616","77.735","77.777","72.849","11.23M","-1.42%"
"2019年9月18日","77.723","74.087","79.936","74.028","11.05M","4.92%"
"2019年9月17日","74.076","72.582","77.207","72.195","9.52M","2.06%"
"2019年9月16日","72.581","70.065","73.420","69.614","8.31M","3.60%"
"2019年9月15日","70.060","70.491","71.165","69.671","6.29M","-0.61%"
"2019年9月14日","70.491","68.967","71.060","68.333","7.01M","2.21%"
"2019年9月13日","68.969","69.217","69.568","67.706","6.62M","-0.36%"
"2019年9月12日","69.220","69.783","69.969","68.417","6.16M","-0.81%"
"2019年9月11日","69.784","70.785","71.445","68.442","8.08M","-1.41%"
"2019年9月10日","70.785","69.910","72.761","69.886","8.83M","1.25%"
"2019年9月9日","69.911","70.427","71.177","68.191","8.23M","-0.76%"
"2019年9月8日","70.447","68.788","71.333","68.431","8.80M","2.41%"
"2019年9月7日","68.790","64.917","70.383","64.591","9.03M","5.96%"
"2019年9月6日","64.919","65.230","67.934","64.192","9.30M","-0.48%"
"2019年9月5日","65.230","67.047","67.358","64.250","7.88M","-2.71%"
"2019年9月4日","67.049","69.034","69.230","66.636","8.40M","-2.87%"
"2019年9月3日","69.027","66.946","70.826","66.526","8.84M","3.11%"
"2019年9月2日","66.943","65.908","67.724","65.122","7.50M","1.57%"
"2019年9月1日","65.911","64.282","67.072","63.946","6.53M","2.55%"
"2019年8月31日","64.271","64.215","65.159","62.492","7.48M","0.09%"
"2019年8月30日","64.214","63.581","65.336","62.311","7.35M","1.00%"
"2019年8月29日","63.576","66.914","66.925","62.374","10.20M","-4.97%"
"2019年8月28日","66.904","72.892","72.931","65.399","8.96M","-8.22%"
"2019年8月27日","72.893","73.572","73.655","72.214","6.21M","-0.92%"
"2019年8月26日","73.570","72.096","75.051","72.092","8.80M","2.04%"
"2019年8月25日","72.101","73.290","74.787","63.442","6.41M","-1.60%"
"2019年8月24日","73.274","75.381","75.536","71.860","6.85M","-2.81%"
"2019年8月23日","75.390","73.449","75.676","58.552","6.72M","2.64%"
"2019年8月22日","73.454","73.218","74.521","71.143","9.00M","0.32%"
"2019年8月21日","73.218","75.103","75.311","70.323","9.80M","-2.49%"
"2019年8月20日","75.089","77.103","77.267","73.450","8.17M","-2.61%"
"2019年8月19日","77.103","76.297","78.762","75.597","8.30M","1.06%"
"2019年8月18日","76.296","72.688","77.954","71.572","9.85M","4.97%"
"2019年8月17日","72.686","74.656","75.277","71.699","8.62M","-2.64%"
"2019年8月16日","74.658","76.311","76.397","72.484","12.06M","-2.15%"
"2019年8月15日","76.299","76.016","77.549","71.799","15.32M","0.42%"
"2019年8月14日","75.983","84.895","86.214","75.188","13.15M","-10.49%"
"2019年8月13日","84.886","85.807","86.480","83.439","9.72M","-1.04%"
"2019年8月12日","85.781","90.061","90.068","85.533","9.73M","-4.80%"
"2019年8月11日","90.107","85.497","91.499","85.422","9.97M","5.37%"
"2019年8月10日","85.512","84.321","87.436","82.623","11.08M","1.40%"
"2019年8月9日","84.331","90.206","90.418","82.753","11.34M","-6.52%"
"2019年8月8日","90.209","90.568","92.130","88.112","10.68M","-0.37%"
"2019年8月7日","90.546","93.042","94.286","87.764","10.54M","-2.69%"
"2019年8月6日","93.049","96.508","99.246","91.217","11.28M","-3.58%"
"2019年8月5日","96.504","92.700","106.384","92.700","15.38M","4.10%"
"2019年8月4日","92.701","94.190","94.740","90.548","8.48M","-1.58%"
"2019年8月3日","94.192","94.780","96.552","93.652","8.28M","-0.61%"
"2019年8月2日","94.768","98.683","98.752","92.707","9.42M","-3.95%"
"2019年8月1日","98.667","98.781","100.312","95.862","8.77M","-0.12%"
"2019年7月31日","98.781","90.167","99.877","89.894","9.46M","9.55%"
"2019年7月30日","90.174","90.376","92.415","88.674","7.38M","-0.22%"
"2019年7月29日","90.376","89.893","91.993","87.809","8.40M","0.64%"
"2019年7月28日","89.800","88.789","90.794","84.125","8.40M","1.12%"
"2019年7月27日","88.803","94.006","95.897","87.103","9.28M","-5.53%"
"2019年7月26日","94.006","93.253","94.452","90.240","7.23M","0.81%"
"2019年7月25日","93.246","94.398","96.390","91.664","8.99M","-1.21%"
"2019年7月24日","94.391","90.225","97.260","87.294","11.88M","4.62%"
"2019年7月23日","90.219","95.280","95.311","88.718","10.12M","-5.31%"
"2019年7月22日","95.280","99.668","100.601","91.502","10.05M","-4.39%"
"2019年7月21日","99.650","100.276","101.369","96.635","9.93M","-0.63%"
